account_id,industry,country,anciennete_mois,churn,nb_changements_plan,mrr_moyen,nb_sieges_max,downgrade_detecte,auto_renew_flag,est_enterprise,nb_tickets_total,nb_tickets_critiques,satisfaction_moyenne,delai_resolution_moyen,ratio_tickets_critiques,usage_total_count,nb_features_uniques,jours_depuis_derniere_activite,usage_moyen_3mois,tendance_usage
A-2e4581,EdTech,US,1.6,1,1.0,826.7142857142857,102.0,0.0,0.0,1.0,1.0,1.0,3.0,27.0,1.0,522,27,6,22.333333333333332,3.5
A-43a9e3,FinTech,IN,16.5,0,3.0,1250.5,28.0,0.0,1.0,0.0,3.0,2.0,4.0,38.0,0.6666666666666666,355,23,3,12.666666666666666,0.5
A-0a282f,DevTools,US,4.1,1,2.0,1219.0666666666666,60.0,1.0,1.0,0.0,3.0,1.0,4.666666666666667,43.666666666666664,0.3333333333333333,821,34,9,34.666666666666664,33.5
A-1f0ac7,HealthTech,UK,14.4,1,1.0,1498.2,47.0,0.0,1.0,0.0,2.0,1.0,4.0,29.0,0.5,354,24,17,17.333333333333332,5.5
A-ce550d,HealthTech,US,2.0,1,2.0,3383.75,54.0,0.0,1.0,0.0,7.0,4.0,3.857142857142857,42.285714285714285,0.5714285714285714,579,32,5,36.0,-8.0
A-1b9609,EdTech,IN,13.2,1,0.0,1528.1818181818182,49.0,0.0,1.0,1.0,4.0,3.0,3.75,43.0,0.75,450,28,12,23.0,8.0
A-a0ca4e,Cybersecurity,US,9.8,0,0.0,1848.111111111111,49.0,0.0,1.0,1.0,6.0,2.0,3.8333333333333335,39.166666666666664,0.3333333333333333,373,26,15,20.666666666666668,-12.0
A-e5d6ab,EdTech,US,12.9,1,0.0,1330.1666666666667,35.0,0.0,1.0,1.0,1.0,1.0,4.0,50.0,1.0,249,21,5,20.666666666666668,8.5
A-7dacce,Cybersecurity,CA,3.5,1,1.0,2305.7,67.0,0.0,1.0,0.0,4.0,4.0,3.75,32.5,1.0,466,27,41,22.333333333333332,-21.0
A-10b8da,DevTools,US,19.8,0,1.0,1464.5,34.0,0.0,1.0,0.0,3.0,2.0,3.6666666666666665,31.333333333333332,0.6666666666666666,257,23,9,18.666666666666668,-6.0
A-592832,Cybersecurity,US,0.3,1,1.0,3555.8,42.0,0.0,1.0,1.0,2.0,1.0,4.5,28.5,0.5,949,37,3,46.0,29.0
A-d40bf7,FinTech,IN,1.8,0,1.0,4324.7,59.0,0.0,1.0,0.0,2.0,2.0,5.0,20.5,1.0,562,29,41,15.0,-4.0
A-6c093d,DevTools,US,20.6,0,2.0,1353.5,62.0,0.0,1.0,1.0,3.0,2.0,4.333333333333333,40.333333333333336,0.6666666666666666,670,30,2,36.333333333333336,16.5
A-462d45,Cybersecurity,US,4.0,1,3.0,2023.375,89.0,1.0,1.0,0.0,3.0,3.0,4.0,26.0,1.0,494,29,7,22.333333333333332,4.0
A-956988,EdTech,UK,1.0,1,1.0,1919.9166666666667,72.0,1.0,1.0,1.0,2.0,1.0,3.5,50.5,0.5,658,32,6,24.666666666666668,-8.0
A-ac14bb,FinTech,US,12.8,1,2.0,3468.25,71.0,0.0,1.0,0.0,2.0,1.0,4.0,24.5,0.5,473,31,9,17.333333333333332,-0.5
A-463db0,HealthTech,US,0.8,1,0.0,2088.5,42.0,0.0,1.0,0.0,6.0,2.0,4.166666666666667,50.166666666666664,0.3333333333333333,367,25,3,18.0,5.0
A-ce66f8,EdTech,CA,16.3,0,0.0,1976.3333333333333,37.0,0.0,1.0,0.0,6.0,2.0,3.8333333333333335,41.666666666666664,0.3333333333333333,494,29,1,20.0,0.5
A-c4ea60,FinTech,DE,21.8,0,1.0,1627.3333333333333,58.0,1.0,1.0,1.0,5.0,1.0,3.6,36.0,0.2,427,28,21,20.333333333333332,-1.5
A-832ec2,FinTech,UK,9.9,1,2.0,703.0,31.0,0.0,1.0,0.0,3.0,1.0,4.0,26.0,0.3333333333333333,382,25,20,17.666666666666668,-4.0
A-684255,FinTech,US,2.6,1,2.0,554.5,32.0,0.0,1.0,0.0,2.0,1.0,4.5,5.5,0.5,489,32,30,22.333333333333332,-22.0
A-c42f1f,HealthTech,US,5.2,0,2.0,646.875,28.0,1.0,1.0,0.0,9.0,4.0,4.0,31.333333333333332,0.4444444444444444,337,24,63,5.333333333333333,-8.0
A-4e44e8,DevTools,US,1.7,1,2.0,2174.5,78.0,0.0,1.0,0.0,3.0,1.0,3.3333333333333335,31.333333333333332,0.3333333333333333,637,31,20,36.333333333333336,-6.5
A-30b4ca,EdTech,IN,3.4,1,0.0,10614.857142857143,86.0,0.0,1.0,0.0,2.0,0.0,4.0,54.5,0.0,332,25,29,13.333333333333334,3.5
A-9f2731,FinTech,IN,2.2,1,1.0,516.1428571428571,39.0,1.0,1.0,0.0,0.0,0.0,4.0,36.0,0.0,314,22,31,18.0,0.0
A-32fb14,DevTools,US,13.7,1,0.0,487.6666666666667,47.0,0.0,1.0,0.0,1.0,0.0,4.0,63.0,0.0,403,26,8,29.0,6.5
A-00cac8,HealthTech,AU,15.6,0,1.0,1569.0,39.0,1.0,1.0,0.0,2.0,2.0,4.0,33.0,1.0,602,30,8,15.666666666666666,4.5
A-35083d,HealthTech,IN,20.2,0,3.0,2027.0625,49.0,0.0,1.0,1.0,4.0,3.0,4.75,49.75,0.75,791,29,3,35.0,1.0
A-eb7fac,DevTools,US,8.8,1,0.0,6113.666666666667,136.0,0.0,1.0,1.0,4.0,2.0,4.0,34.0,0.5,440,25,5,36.0,8.0
A-b20d99,HealthTech,IN,5.2,1,0.0,2180.0,20.0,0.0,1.0,0.0,2.0,0.0,3.5,61.5,0.0,206,14,29,15.0,-1.0
A-396e5f,Cybersecurity,CA,1.9,1,3.0,1021.5,53.0,1.0,1.0,0.0,4.0,3.0,4.0,16.0,0.75,497,28,4,22.333333333333332,8.5
A-45ce7a,FinTech,US,17.3,0,3.0,1173.7142857142858,22.0,1.0,1.0,1.0,5.0,0.0,3.8,45.4,0.0,424,21,8,10.666666666666666,-2.0
A-08e34e,EdTech,US,2.2,1,0.0,708.75,77.0,0.0,0.0,0.0,3.0,1.0,3.3333333333333335,43.0,0.3333333333333333,531,32,1,39.666666666666664,-3.0
A-8145a0,Cybersecurity,AU,2.6,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.5,14.5,0.0,143,10,3,25.333333333333332,4.5
A-bad8c1,FinTech,AU,7.1,1,0.0,1722.0,54.0,0.0,1.0,0.0,0.0,0.0,4.0,36.0,0.0,164,16,31,10.666666666666666,-5.5
A-44dc83,EdTech,FR,6.6,1,0.0,114.0,37.0,0.0,1.0,1.0,7.0,4.0,4.428571428571429,40.857142857142854,0.5714285714285714,248,16,51,12.0,-12.0
A-f446b6,DevTools,DE,19.7,0,0.0,1265.7777777777778,53.0,0.0,1.0,0.0,8.0,6.0,4.125,30.75,0.75,376,27,18,18.0,1.5
A-a45270,HealthTech,US,4.6,1,2.0,2154.1111111111113,79.0,0.0,0.0,1.0,3.0,3.0,4.0,63.0,1.0,694,33,10,6.0,-2.0
A-854864,FinTech,IN,0.6,1,0.0,4219.5,91.0,0.0,0.0,0.0,5.0,2.0,4.8,44.2,0.4,248,17,9,10.333333333333334,8.5
A-1b7577,Cybersecurity,US,2.2,0,1.0,797.3636363636364,81.0,1.0,1.0,0.0,5.0,3.0,4.0,27.2,0.6,647,33,12,35.333333333333336,-5.5
A-05f0e5,FinTech,US,18.8,1,2.0,4259.083333333333,92.0,0.0,1.0,0.0,4.0,2.0,4.0,20.0,0.5,651,32,4,36.0,23.5
A-9077b0,HealthTech,US,4.2,0,3.0,509.2857142857143,63.0,0.0,1.0,0.0,3.0,3.0,4.333333333333333,40.333333333333336,1.0,493,26,44,11.0,-3.0
A-7f8241,EdTech,US,21.6,0,2.0,2634.4,60.0,0.0,0.0,1.0,1.0,0.0,3.0,36.0,0.0,734,34,11,36.0,-37.5
A-2bc93d,HealthTech,US,17.1,1,2.0,3384.5,95.0,0.0,1.0,0.0,1.0,1.0,4.0,17.0,1.0,538,31,6,30.666666666666668,16.5
A-f3ff05,FinTech,IN,3.5,1,1.0,2066.777777777778,48.0,0.0,1.0,1.0,3.0,1.0,3.6666666666666665,42.666666666666664,0.3333333333333333,648,27,1,33.333333333333336,31.5
A-2d4502,FinTech,IN,0.3,1,0.0,392.0,8.0,0.0,1.0,0.0,3.0,2.0,4.666666666666667,26.333333333333332,0.6666666666666666,374,24,12,27.666666666666668,-10.5
A-6a4e2d,EdTech,UK,15.4,1,2.0,1023.7777777777778,56.0,1.0,1.0,0.0,1.0,0.0,4.0,22.0,0.0,481,24,2,38.666666666666664,3.5
A-eb7c38,DevTools,AU,0.9,1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,23.666666666666668,0.6666666666666666,386,27,8,25.666666666666668,-10.0
A-c37601,EdTech,US,1.5,1,0.0,538.0,22.0,0.0,1.0,0.0,4.0,2.0,3.75,42.25,0.5,489,28,10,23.0,-4.0
A-3b5cd1,FinTech,US,11.6,1,3.0,1054.2,55.0,1.0,1.0,1.0,4.0,1.0,4.0,19.25,0.25,369,21,7,6.666666666666667,6.0
A-b2225d,FinTech,US,3.6,1,1.0,2561.5,47.0,1.0,1.0,1.0,1.0,1.0,3.0,24.0,1.0,494,32,1,29.666666666666668,-3.0
A-94f8c9,HealthTech,US,1.1,1,1.0,1074.6666666666667,13.0,0.0,1.0,1.0,2.0,1.0,5.0,45.5,0.5,547,31,6,29.666666666666668,-0.5
A-02fac6,FinTech,US,16.5,1,0.0,2513.3333333333335,59.0,0.0,1.0,0.0,6.0,2.0,4.0,23.333333333333332,0.3333333333333333,401,28,6,19.333333333333332,10.0
A-c1dfe1,DevTools,DE,10.0,1,2.0,2392.6,33.0,1.0,0.0,1.0,2.0,1.0,4.0,43.0,0.5,318,22,19,19.0,-12.5
A-32728c,DevTools,US,18.5,1,1.0,528.5714285714286,20.0,0.0,1.0,0.0,2.0,0.0,3.5,34.5,0.0,357,24,18,26.666666666666668,-3.5
A-4c38bc,HealthTech,UK,9.8,0,2.0,3003.75,36.0,0.0,1.0,0.0,3.0,2.0,3.6666666666666665,48.333333333333336,0.6666666666666666,818,37,3,35.333333333333336,29.0
A-1b707d,Cybersecurity,US,0.2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.0,0.0,146,12,12,19.0,15.5
A-6f8ad2,EdTech,IN,5.8,0,3.0,1525.1764705882354,70.0,1.0,0.0,0.0,4.0,2.0,4.25,35.25,0.5,924,38,1,35.0,-12.5
A-4d1e75,DevTools,US,0.5,1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,15.0,0.0,382,23,40,11.0,-6.0
A-9ee962,HealthTech,US,19.2,1,4.0,1046.6666666666667,30.0,1.0,1.0,0.0,3.0,1.0,4.0,37.0,0.3333333333333333,416,25,9,9.333333333333334,-1.0
A-378b99,EdTech,UK,1.3,1,0.0,937.0,68.0,0.0,1.0,0.0,6.0,1.0,4.333333333333333,28.5,0.16666666666666666,491,31,5,17.666666666666668,-11.5
A-94d3da,HealthTech,US,11.3,1,1.0,1526.111111111111,41.0,0.0,1.0,0.0,2.0,2.0,3.5,35.0,1.0,352,24,6,28.333333333333332,18.0
A-e351e1,EdTech,US,2.3,1,0.0,717.75,33.0,0.0,0.0,0.0,3.0,1.0,4.0,21.0,0.3333333333333333,266,17,19,13.333333333333334,-2.0
A-9badbd,Cybersecurity,DE,6.4,0,0.0,2498.230769230769,103.0,0.0,1.0,1.0,5.0,3.0,4.4,30.2,0.6,729,33,7,27.333333333333332,-2.5
A-7e0a10,FinTech,US,10.3,1,1.0,3020.6666666666665,46.0,0.0,1.0,0.0,4.0,4.0,4.0,37.75,1.0,431,29,15,19.333333333333332,-9.5
A-118d55,Cybersecurity,US,2.2,1,5.0,1939.6666666666667,36.0,1.0,1.0,0.0,5.0,1.0,4.2,24.2,0.2,592,28,11,26.333333333333332,-12.0
