churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text
C-5689de,A-00bed1,2024-01-03,unknown,21.17,False,False,False,Non fourni
C-1e0b1a,A-016043,2024-08-11,competitor,84.75,False,False,False,switched to competitor
C-10ce15,A-029f69,2024-12-14,competitor,32.73,False,False,False,too expensive
C-c66a6c,A-02cd81,2024-04-30,pricing,0.0,False,False,False,Non fourni
C-6d80a6,A-02fac6,2024-08-21,support,0.0,False,False,False,missing features
C-8b3048,A-034368,2024-08-29,features,0.0,True,False,False,Non fourni
C-ac853d,A-0354fe,2024-11-26,support,0.0,False,True,False,switched to competitor
C-7aa94d,A-038089,2024-12-25,features,19.34,False,False,False,too expensive
C-70de89,A-039727,2024-12-22,pricing,46.49,False,False,False,switched to competitor
C-2fb169,A-0532a9,2024-10-09,pricing,2.4,False,False,False,too expensive
C-8f8593,A-05d3b3,2024-09-09,unknown,0.0,False,False,False,switched to competitor
C-dfe189,A-05f0e5,2024-11-25,features,72.19,True,False,False,Non fourni
C-775d4e,A-0651a4,2024-12-25,support,0.0,False,False,False,too expensive
C-370962,A-075038,2024-09-05,features,6.38,False,False,False,Non fourni
C-cb924b,A-089363,2023-11-27,pricing,0.0,False,False,False,switched to competitor
C-09b7c7,A-08e34e,2024-09-01,features,3.57,False,False,False,missing features
C-6cbc28,A-09316c,2024-12-05,unknown,0.0,False,False,False,switched to competitor
C-d4c4c6,A-09540c,2024-03-05,unknown,71.44,False,False,False,Non fourni
C-025044,A-098560,2024-09-04,pricing,0.0,False,False,False,too expensive
C-484fba,A-0a282f,2024-12-31,support,62.66,False,True,False,too expensive
C-b3d895,A-0a62f5,2024-12-27,support,43.6,False,False,False,too expensive
C-5328d6,A-0b0d6d,2024-12-31,competitor,0.0,False,False,False,Non fourni
C-366a49,A-0baac2,2024-12-24,unknown,68.65,False,False,False,switched to competitor
C-eb8f3d,A-0be015,2024-12-13,unknown,74.68,False,False,False,too expensive
C-47694c,A-0cc442,2024-10-23,budget,59.52,False,False,False,Non fourni
C-c8f7b4,A-0dbdc6,2024-04-14,pricing,175.02,False,False,False,too expensive
C-59d7bd,A-0f3e88,2024-08-11,budget,0.0,False,False,False,missing features
C-ef2329,A-0f6450,2024-12-30,competitor,0.0,False,True,False,Non fourni
C-75fdd6,A-0f7d77,2024-11-09,competitor,0.0,False,False,True,missing features
C-6b9663,A-104f1a,2024-12-11,unknown,0.0,False,False,False,missing features
C-577ffa,A-10b8f2,2024-06-04,support,0.0,True,False,False,too expensive
C-f0bd80,A-117171,2024-11-14,pricing,0.0,False,False,False,Non fourni
C-fba952,A-118d55,2024-12-27,pricing,0.0,False,False,False,too expensive
C-d9a1f3,A-118f1c,2024-12-17,budget,0.0,False,False,False,Non fourni
C-7cd070,A-13466a,2024-04-18,pricing,6.51,False,True,True,switched to competitor
C-ae25d5,A-149a69,2024-12-04,pricing,0.0,True,False,False,Non fourni
C-b6549a,A-151c9a,2023-11-04,support,35.6,False,False,False,missing features
C-9fe257,A-157070,2024-12-27,features,0.0,False,False,False,too expensive
C-c9b84b,A-158f4e,2024-12-04,features,0.0,False,False,False,Non fourni
