account_id,churn_score,risk_level
A-2e4581,0.94,High
A-43a9e3,0.13,Low
A-0a282f,0.87,High
A-1f0ac7,0.95,High
A-ce550d,0.92,High
A-1b9609,0.85,High
A-a0ca4e,0.29,Low
A-e5d6ab,0.98,High
A-7dacce,0.78,High
A-10b8da,0.1,Low
A-592832,0.88,High
A-d40bf7,0.39,Low
A-6c093d,0.17,Low
A-462d45,0.89,High
A-956988,0.91,High
A-ac14bb,0.9,High
A-463db0,0.88,High
A-ce66f8,0.23,Low
A-c4ea60,0.1,Low
A-832ec2,0.92,High
A-684255,0.94,High
A-c42f1f,0.27,Low
A-4e44e8,0.86,High
A-30b4ca,0.92,High
A-9f2731,0.96,High
A-32fb14,0.97,High
A-00cac8,0.21,Low
A-35083d,0.11,Low
A-eb7fac,0.94,High
A-b20d99,0.95,High
A-396e5f,0.92,High
A-45ce7a,0.24,Low
A-08e34e,0.92,High
A-8145a0,1.0,High
A-bad8c1,0.9,High
A-44dc83,0.93,High
A-f446b6,0.11,Low
A-a45270,0.87,High
A-854864,0.94,High
A-1b7577,0.31,Low
A-05f0e5,0.8,High
A-9077b0,0.26,Low
A-7f8241,0.21,Low
A-2bc93d,0.9,High
A-f3ff05,0.83,High
A-2d4502,0.97,High
A-6a4e2d,0.92,High
A-eb7c38,0.99,High
A-c37601,0.95,High
A-3b5cd1,0.96,High
A-b2225d,0.95,High
A-94f8c9,0.93,High
A-02fac6,0.9,High
A-c1dfe1,0.9,High
A-32728c,0.86,High
A-4c38bc,0.2,Low
A-1b707d,1.0,High
A-6f8ad2,0.23,Low
A-4d1e75,0.99,High
A-9ee962,0.76,High
A-378b99,0.88,High
A-94d3da,0.92,High
A-e351e1,0.97,High
A-9badbd,0.25,Low
A-7e0a10,0.82,High
A-118d55,0.9,High
A-526d93,0.82,High
A-f92792,0.87,High
A-84ebe4,0.95,High
A-5b4ebb,0.25,Low
A-2922b6,0.96,High
A-9b9fe9,0.89,High
A-a8b49c,0.97,High
A-9174e0,0.29,Low
A-a1bbb6,0.11,Low
A-c45b23,1.0,High
A-02cd81,0.94,High
A-ee42db,0.82,High
A-432483,0.16,Low
A-9208f0,0.81,High
A-98a59a,0.92,High
A-fe79a5,0.36,Low
A-726cfa,0.86,High
A-c43359,0.93,High
A-271f46,0.92,High
A-157070,0.79,High
A-40a557,1.0,High
A-66224b,0.31,Low
A-91e948,0.12,Low
A-104f1a,0.93,High
A-7988d1,0.9,High
A-faa28c,0.82,High
A-f25509,0.94,High
A-3a7284,0.91,High
A-3a5ad8,0.23,Low
A-65a46c,0.18,Low
A-8b25f2,0.27,Low
A-fabe19,0.29,Low
A-adc1f3,0.23,Low
A-503d5a,0.2,Low
A-fd7ad3,0.91,High
A-186a44,0.16,Low
A-e888d1,0.72,High
A-69fad4,0.99,High
A-9289f6,1.0,High
A-f19409,1.0,High
A-22f2df,0.26,Low
A-039727,0.85,High
A-2e3bad,0.9,High
A-484819,0.96,High
A-425e76,0.87,High
A-e83938,0.93,High
A-ad296b,0.28,Low
A-e51ec7,0.97,High
A-0aaf6e,0.21,Low
A-e61e98,0.88,High
A-92a333,0.17,Low
A-95b24a,0.25,Low
A-42e5e1,0.96,High
A-7d514c,0.1,Low
A-65aeb5,0.85,High
A-e2cd1b,0.3,Low
A-180abf,0.97,High
A-f17767,1.0,High
A-5a184f,0.85,High
A-7df7a7,0.81,High
A-1ac5e0,0.19,Low
A-52dd88,0.15,Low
A-bece89,0.92,High
A-029f69,0.85,High
A-5c046d,0.27,Low
A-fb186e,0.38,Low
A-ae052e,0.87,High
A-9f9299,0.89,High
A-96e141,0.84,High
A-117171,0.92,High
A-313be3,0.97,High
A-671f31,0.22,Low
A-bbc346,0.88,High
A-c16101,0.9,High
A-50f3f7,0.27,Low
A-7da956,0.21,Low
A-019782,0.17,Low
A-df10db,0.97,High
A-3932db,0.19,Low
A-4f18f0,0.8,High
A-4c6f11,0.91,High
A-8ae05d,0.96,High
A-b78bf8,0.96,High
A-eafc6e,0.9,High
A-37f969,0.87,High
A-10b8f2,0.8,High
A-439b2f,0.98,High
A-544d0a,0.27,Low
A-ba6516,0.95,High
A-712426,0.85,High
A-038089,0.94,High
A-afa505,0.99,High
A-d5a319,0.17,Low
A-f97b9a,0.14,Low
A-2f6a32,0.28,Low
A-856b1e,0.3,Low
A-17939a,0.19,Low
A-d27f50,0.18,Low
A-e36807,0.28,Low
A-ff79f2,0.14,Low
A-5b1bcd,0.87,High
A-71615e,0.96,High
A-794a0b,0.91,High
A-86902e,0.79,High
A-0532a9,0.91,High
A-9779ad,0.91,High
A-f45426,0.87,High
A-c1e51e,0.88,High
A-fa3095,0.87,High
A-ad64c6,0.93,High
A-39b19f,1.0,High
A-56962b,0.95,High
A-e60f9d,0.24,Low
A-88c6ca,0.35,Low
A-158f4e,0.68,Medium
A-5b051a,0.36,Low
A-296d7c,0.95,High
A-1619f8,0.97,High
A-a1b80b,0.85,High
A-139c3b,0.34,Low
A-702032,0.92,High
A-7a0d69,0.9,High
A-22d9d2,0.86,High
A-b9eed8,0.94,High
A-dfbd31,0.82,High
A-8e47ca,0.86,High
A-4437e4,0.9,High
A-779e4e,0.25,Low
A-53f4e3,0.88,High
A-692f18,0.8,High
A-13466a,0.92,High
A-1986ca,0.24,Low
A-0cc442,0.92,High
A-c608c8,0.98,High
A-3be56b,0.93,High
A-354f12,0.93,High
A-68f37c,0.83,High
A-aa9511,1.0,High
A-af0cd2,1.0,High
A-bd4513,0.93,High
A-c222ab,0.96,High
A-34d880,0.86,High
A-508199,0.29,Low
A-f03140,0.66,Medium
A-410e86,0.33,Low
A-fa2041,0.95,High
A-de58ca,0.08,Low
A-05d3b3,0.78,High
A-249769,0.79,High
A-e43bf7,0.97,High
A-eb2fdc,0.85,High
A-e1462e,0.73,High
A-cab532,0.88,High
A-9123ac,0.88,High
A-6e08f3,0.94,High
A-d922bf,0.83,High
A-8ed5dd,0.81,High
A-7c6b6b,0.98,High
A-3c1a3f,0.2,Low
A-b48f73,0.28,Low
A-76fa4d,0.94,High
A-b2af2e,0.96,High
A-9bfc9f,0.29,Low
A-4ae22a,0.97,High
A-fda07f,0.97,High
A-de24d5,0.28,Low
A-977ca0,0.16,Low
A-ab438f,0.91,High
A-e89151,0.3,Low
A-40906c,0.14,Low
A-81edc3,0.92,High
A-328bd0,0.11,Low
A-b3fe05,0.26,Low
A-09540c,0.98,High
A-e693b6,0.82,High
A-2446e3,0.93,High
A-241e75,0.98,High
A-922109,0.89,High
A-ff3c73,0.92,High
A-8b0451,0.73,High
A-331424,0.99,High
A-51ec1b,0.99,High
A-bcf664,0.85,High
A-90a8c8,0.91,High
A-86cdb4,0.33,Low
A-4bfa33,0.97,High
A-dbc825,0.95,High
A-c70870,0.96,High
A-7c4956,0.2,Low
A-0651a4,0.9,High
A-3ce5b8,0.79,High
A-bd4708,0.25,Low
A-993085,0.97,High
A-92a3af,0.28,Low
A-151c9a,0.99,High
A-474ad4,0.31,Low
A-4ef964,0.95,High
A-fd9422,0.27,Low
A-0baac2,0.86,High
A-bb1486,0.92,High
A-560d27,0.16,Low
A-0b0d6d,0.91,High
A-2789e3,0.29,Low
A-b07346,0.92,High
A-902ef7,0.93,High
A-20736a,0.99,High
A-e4bf56,0.24,Low
A-cea1f0,0.21,Low
A-ef84cf,0.88,High
A-d49cc5,0.95,High
A-67be94,0.92,High
A-4e960a,0.13,Low
A-c37cab,0.84,High
A-533452,0.91,High
A-443b7c,0.13,Low
A-1f7acb,0.19,Low
A-f51f16,0.94,High
A-5a3eb9,0.82,High
A-5f2961,0.96,High
A-417d2f,0.79,High
A-e98302,0.3,Low
A-8bde0c,0.86,High
A-bcf87c,0.22,Low
A-54ecc2,0.75,High
A-625d0b,0.27,Low
A-fce879,0.99,High
A-b07b56,0.91,High
A-6da850,0.82,High
A-342303,1.0,High
A-e7a1e2,0.86,High
A-f1f639,0.98,High
A-a865bd,0.99,High
A-4e631b,0.21,Low
A-7f6b86,0.94,High
A-8adedc,0.3,Low
A-2edab2,0.98,High
A-149a69,0.92,High
A-a6d261,0.92,High
A-443f6f,0.3,Low
A-202b67,0.94,High
A-00bed1,0.98,High
A-ffc04f,0.9,High
A-65c341,0.89,High
A-dcc2f0,0.93,High
A-ced9aa,0.36,Low
A-3d957b,0.95,High
A-89ee83,0.29,Low
A-883b7d,0.2,Low
A-dcc3f1,0.8,High
A-c62e55,0.08,Low
A-e4144b,0.3,Low
A-e40f45,0.83,High
A-96215d,0.26,Low
A-2b9d3e,0.29,Low
A-b7724f,0.96,High
A-310452,0.99,High
A-eb1312,0.93,High
A-df1e44,0.93,High
A-6a7c9d,0.96,High
A-cbd1a3,0.46,Medium
A-a8d89d,0.84,High
A-600734,0.23,Low
A-86fc1d,0.93,High
A-78f02b,0.91,High
A-acb7f7,0.95,High
A-712f1c,0.8,High
A-3793ee,1.0,High
A-9a532a,0.31,Low
A-2ebb4b,0.75,High
A-6843f2,0.25,Low
A-c9bb3e,0.86,High
A-4814a3,0.91,High
A-b7b7b7,0.24,Low
A-ccc747,0.93,High
A-bb3bd4,0.87,High
A-09316c,0.88,High
A-96bbc6,0.9,High
A-bc4d48,0.23,Low
A-b30291,0.95,High
A-cdf020,0.9,High
A-e6afc1,0.12,Low
A-e3bd71,0.94,High
A-b179bf,0.93,High
A-098560,0.94,High
A-82861f,0.99,High
A-94c3cd,0.27,Low
A-a33200,0.96,High
A-034368,0.98,High
A-b54c01,0.97,High
A-d82ef9,0.92,High
A-bb2f49,0.21,Low
A-1f559b,0.88,High
A-5a215a,0.15,Low
A-3f9cc0,0.83,High
A-f9cc74,0.23,Low
A-ed510f,0.91,High
A-5c9849,0.95,High
A-a7bd4b,0.81,High
A-d4ac0e,0.25,Low
A-ffdfd5,0.98,High
A-0dbdc6,0.96,High
A-7cfe77,0.87,High
A-1f0636,0.22,Low
A-40de06,0.19,Low
A-cb5333,0.91,High
A-309e54,0.92,High
A-6e7827,0.97,High
A-50bb9f,0.93,High
A-5fe118,0.92,High
A-5247b3,0.83,High
A-f44180,0.98,High
A-c16cf7,0.84,High
A-d42431,0.93,High
A-6965e1,0.91,High
A-0354fe,0.88,High
A-0a62f5,0.97,High
A-f5641b,0.89,High
A-b44e3e,0.95,High
A-3b37d9,0.66,Medium
A-54d94a,0.12,Low
